Neighborhood,District,Latitude,Longitude
Amboli,"Andheri,Western Suburbs",19.1293,72.8434
Chakala,"Andheri,Western Suburbs",19.111388,72.860833
D.N. Nagar,"Andheri,Western Suburbs",19.124085,72.831373
Four Bungalows,"Andheri,Western Suburbs",19.124714,72.82721
Lokhandwala,"Andheri,Western Suburbs",19.130815,72.82927
Marol,"Andheri,Western Suburbs",19.119219,72.882743
Sahar,"Andheri,Western Suburbs",19.098889,72.867222
Seven Bungalows,"Andheri,Western Suburbs",19.129052,72.817018
Versova,"Andheri,Western Suburbs",19.12,72.82
Mira Road,"Mira-Bhayandar,Western Suburbs",19.284167,72.871111
Bhayandar,"Mira-Bhayandar,Western Suburbs",19.29,72.85
Uttan,"Mira-Bhayandar,Western Suburbs",19.28,72.785
Bandstand Promenade,"Bandra,Western Suburbs",19.042718,72.819132
Kherwadi,"Bandra,Western Suburbs",19.0553,72.8314
Pali Hill,"Bandra,Western Suburbs",19.068,72.826
I.C. Colony,"Borivali (West),Western Suburbs",19.247039,72.84983
Gorai,"Borivali (West),Western Suburbs",19.250057,72.782021
Dahisar,Western Suburbs,19.250069,72.859347
Aarey Milk Colony,"Goregaon,Western Suburbs",19.148493,72.881756
Bangur Nagar,"Goregaon,Western Suburbs",19.167362,72.832252
Jogeshwari West,Western Suburbs,19.12,72.85
Juhu,Western Suburbs,19.1,72.83
Charkop,"Kandivali West,Western Suburbs",19.216182,72.830575
Poisar,"Kandivali West,Western Suburbs",19.204511,72.837639
Mahavir Nagar,"Kandivali West,Western Suburbs",19.211319,72.842737
Thakur village,"Kandivali East,Western Suburbs",19.210206,72.87298
Pali Naka,"Khar,Western Suburbs",19.062742,72.829396
Khar Danda,"Khar,Western Suburbs",19.068598,72.840042
Dindoshi,"Malad,Western Suburbs",19.176382,72.864891
Sunder Nagar,"Malad,Western Suburbs",19.175,72.842
Kalina,"Sanctacruz,Western Suburbs",19.081667,72.841389
Naigaon,"Vasai,Western Suburbs",19.351467,72.846343
Nalasopara,"Vasai,Western Suburbs",19.4154,72.8613
Virar,Western Suburbs,19.47,72.8
Irla,"Vile Parle,Western Suburbs",19.108056,72.838056
Vile Parle,Western Suburbs,19.1,72.83
Bhandup,Eastern Suburbs,19.14,72.93
Amrut Nagar,"Ghatkopar,Eastern Suburbs",19.102077,72.912835
Asalfa,"Ghatkopar,Eastern Suburbs",19.091,72.901
Pant Nagar,"Ghatkopar,Eastern Suburbs",19.08,72.91
Kanjurmarg,Eastern Suburbs,19.13,72.94
Nehru Nagar,"Kurla,Eastern Suburbs",19.064,72.8826
Nahur,"Mulund,Eastern Suburbs",19.157,72.941
Chandivali,"Powai,Eastern Suburbs",19.11,72.9
Hiranandani Gardens,"Powai,Eastern Suburbs",19.118986,72.911767
Indian Institute of Technology Bombay campus,"Powai,Eastern Suburbs",19.133636,72.915358
Vidyavihar,Eastern Suburbs,19.08,72.896
Vikhroli,Eastern Suburbs,19.11,72.94
Chembur,Harbour Suburbs,19.051,72.894
Deonar,"Govandi,Harbour Suburbs",19.05,72.89
Mankhurd,Harbour Suburbs,19.05,72.93
Mahul,"Trombay,Harbour Suburbs",19.0,72.883333
Agripada,South Mumbai,18.9777,72.8273
Altamount Road,South Mumbai,18.9681,72.8095
Bhuleshwar,South Mumbai,18.95,72.83
Breach Candy,South Mumbai,18.967,72.805
Carmichael Road,South Mumbai,18.9722,72.8113
Cavel,South Mumbai,18.9474,72.8272
Churchgate,South Mumbai,18.93,72.82
Cotton Green,South Mumbai,18.986209,72.844076
Cuffe Parade,South Mumbai,18.91,72.81
Cumbala Hill,South Mumbai,18.965833,72.805833
Currey Road,South Mumbai,18.994,72.833
Dhobitalao,South Mumbai,18.9433,72.8286
Dongri,South Mumbai,19.283333,72.783333
Kala Ghoda,South Mumbai,18.9307,72.8331
Kemps Corner,South Mumbai,18.9629,72.8054
Lower Parel,South Mumbai,18.995278,72.83
Mahalaxmi,South Mumbai,18.983333,72.8
Mahim,South Mumbai,19.035,72.84
Malabar Hill,South Mumbai,18.95,72.795
Marine Drive,South Mumbai,18.944,72.823
Marine Lines,South Mumbai,18.9447,72.8244
Mumbai Central,South Mumbai,18.9697,72.8194
Nariman Point,South Mumbai,18.926,72.823
Prabhadevi,South Mumbai,19.0166,72.8295
Sion,South Mumbai,19.04,72.86
Walkeshwar,South Mumbai,18.947596,72.795957
Worli,South Mumbai,19.0,72.815
C.G.S. colony,"Antop Hill,South Mumbai",19.016378,72.856629
Dagdi Chawl,"Byculla,South Mumbai",18.977129,72.829131
Navy Nagar,"Colaba,South Mumbai",18.9012,72.8101
Hindu colony,"Dadar,South Mumbai",19.020841,19.020841
Ballard Estate,"Fort,South Mumbai",18.95,72.84
Chira Bazaar,"Kalbadevi,South Mumbai",18.94814,72.825462
Fanas Wadi,"Kalbadevi,South Mumbai",18.951811,72.825309
Chor Bazaar,"Kamathipura,South Mumbai",18.960321,72.827176
Matunga,South Mumbai,19.01798,72.844763
Parel,South Mumbai,18.99,72.84
Gowalia Tank,"Tardeo,South Mumbai",18.96245,72.809703
Dava Bazaar,South Mumbai,18.946882,72.831362
Dharavi,Mumbai,19.040208,72.85085
Thane,Mumbai,19.2,72.97
